Буквосочетание	Сколько найдено слов
ни	8645
ан	6402
ка	4695
ва	4287
но	4214
ост	4155
ро	3934
ра	3892
ов	3183
ик	2795
ор	2629
по	2504
то	2490
во	2464
те	2427
ат	2283
ко	2276
на	2205
ли	2184
ин	2180
ле	2176
ло	2099
не	1986
ал	1985
он	1976
ар	1963
од	1942
ти	1937
от	1901
та	1694
ит	1648
мо	1617
за	1587
ма	1500
ла	1465
ас	1384
ок	1326
ом	1252
тел	1221
ист	1159
па	1154
ск	1078
со	1067
ник	1045
аз	960
ил	920
ди	919
ад	907
ам	902
ак	891
са	818
ев	796
га	729
да	728
ру	712
ба	645
ус	549
ки	481
изм	477
лог	421
аст	420
ант	408
ча	396
ран	388
уб	355
ук	339
вод	331
ун	323
лю	321
мет	300
лов	275
тик	261
му	260
мер	256
кол	255
ром	254
мат	247
дел	229
лос	221
ке	219
вар	215
род	215
рез	208
уз	184
метр	172
воз	170
вед	165
пан	159
инт	136
акт	128
док	121
рог	121
лом	117
ход	115
ход	115
бол	92
кин	87
мас	81
пит	75
фон	73
вик	66
ласт	62
сон	52
дик	48
век	41
жу	40
хоз	37
суда	15
